# pid 2708282
time	RSS	X pixmaps	CPU	Open files
12:11:01	3.2 MB	0 pxm, 4.1 MB (top: mutter-x11-frames pid 3092)	...	3
12:11:02	466.0 MB	0 pxm, 4.2 MB (top: azt dev console /hom pid 17964)	222% = 2.2 cores, peak thread 97%	4
12:11:03	630.4 MB	0 pxm, 4.1 MB (top: mutter-x11-frames pid 3092)	101% = 1.0 cores, peak thread 101%	4
12:11:04	801.8 MB	0 pxm, 4.1 MB (top: mutter-x11-frames pid 3092)	225% = 2.2 cores, peak thread 99%	4
12:11:05	943.7 MB	0 pxm, 0.0 MB	86% = 0.9 cores, peak thread 85%	6
12:11:06	1006.4 MB	0 pxm, 0.0 MB	99% = 1.0 cores, peak thread 100%	6
12:11:07	1006.5 MB	0 pxm, 0.0 MB	100% = 1.0 cores, peak thread 99%	6
12:11:08	1006.8 MB	0 pxm, 0.0 MB	100% = 1.0 cores, peak thread 100%	6
12:11:09	1010.5 MB	2 pxm, 4.9 MB	72% = 0.7 cores, peak thread 73%	7
12:11:10	1074.9 MB	2 pxm, 6.1 MB	34% = 0.3 cores, peak thread 33%	7
12:11:11	1109.7 MB	2 pxm, 6.1 MB	100% = 1.0 cores, peak thread 101%	7
12:11:12	1129.5 MB	2 pxm, 6.1 MB	100% = 1.0 cores, peak thread 99%	8
12:11:13	1134.5 MB	2 pxm, 6.1 MB	100% = 1.0 cores, peak thread 101%	7
12:11:14	1134.7 MB	2 pxm, 6.1 MB	100% = 1.0 cores, peak thread 99%	7
12:11:15	1134.7 MB	2 pxm, 6.1 MB	100% = 1.0 cores, peak thread 100%	7
12:11:16	1135.0 MB	2 pxm, 6.1 MB	100% = 1.0 cores, peak thread 100%	7
12:11:17	1127.7 MB	2 pxm, 6.1 MB	82% = 0.8 cores, peak thread 78%	9
12:11:18	1127.9 MB	2 pxm, 6.1 MB	100% = 1.0 cores, peak thread 100%	9
12:11:19	1128.1 MB	2 pxm, 6.1 MB	100% = 1.0 cores, peak thread 100%	9
12:11:20	1128.3 MB	2 pxm, 6.1 MB	100% = 1.0 cores, peak thread 100%	9
12:11:21	1137.7 MB	2 pxm, 7.1 MB	28% = 0.3 cores, peak thread 28%	9
12:11:22	1137.7 MB	2 pxm, 7.1 MB	0% = 0.0 cores, peak thread 0%	9
12:11:23	1137.7 MB	2 pxm, 6.6 MB	1% = 0.0 cores, peak thread 1%	9
12:11:24	1137.7 MB	3 pxm, 10.5 MB	18% = 0.2 cores, peak thread 17%	9
12:11:25	1137.7 MB	3 pxm, 11.0 MB	0% = 0.0 cores, peak thread 0%	9
12:11:26	1137.7 MB	3 pxm, 11.7 MB	0% = 0.0 cores, peak thread 1%	9
12:11:27	1137.7 MB	3 pxm, 10.7 MB	0% = 0.0 cores, peak thread 0%	9
12:11:28	1137.7 MB	3 pxm, 10.7 MB	0% = 0.0 cores, peak thread 0%	9
12:11:29	1137.7 MB	3 pxm, 10.7 MB	0% = 0.0 cores, peak thread 0%	9
12:11:30	1137.7 MB	3 pxm, 10.7 MB	0% = 0.0 cores, peak thread 0%	9
12:11:31	1137.7 MB	3 pxm, 10.7 MB	0% = 0.0 cores, peak thread 0%	9
12:11:32	1137.7 MB	3 pxm, 10.7 MB	0% = 0.0 cores, peak thread 0%	9
12:11:33	1137.7 MB	3 pxm, 10.7 MB	0% = 0.0 cores, peak thread 0%	9
12:11:34	1137.7 MB	3 pxm, 10.7 MB	0% = 0.0 cores, peak thread 0%	9
12:11:35	1137.7 MB	3 pxm, 10.7 MB	0% = 0.0 cores, peak thread 0%	9
12:11:36	1137.7 MB	3 pxm, 10.7 MB	0% = 0.0 cores, peak thread 0%	9
12:11:37	1137.7 MB	3 pxm, 10.7 MB	0% = 0.0 cores, peak thread 0%	9
12:11:38	1137.7 MB	3 pxm, 10.7 MB	0% = 0.0 cores, peak thread 0%	9
12:11:39	1137.7 MB	3 pxm, 10.7 MB	0% = 0.0 cores, peak thread 0%	9
12:11:40	1137.7 MB	3 pxm, 10.7 MB	0% = 0.0 cores, peak thread 0%	9
